assemblage	easting	northing
assemblage-403-789	403	789
assemblage-403-803	403	803
assemblage-402-810	402	810
assemblage-414-844	414	844
assemblage-423-796	423	796
assemblage-389-812	389	812
assemblage-398-800	398	800
assemblage-403-819	403	819
assemblage-407-795	407	795
assemblage-397-817	397	817
assemblage-145-658	145	658
assemblage-141-639	141	639
assemblage-137-652	137	652
assemblage-152-651	152	651
assemblage-129-623	129	623
assemblage-129-651	129	651
assemblage-133-661	133	661
assemblage-145-672	145	672
assemblage-146-669	146	669
assemblage-137-632	137	632
assemblage-547-686	547	686
assemblage-548-684	548	684
assemblage-552-648	552	648
assemblage-557-683	557	683
assemblage-542-670	542	670
assemblage-547-664	547	664
assemblage-549-657	549	657
assemblage-533-678	533	678
assemblage-544-659	544	659
assemblage-557-670	557	670
assemblage-955-629	955	629
assemblage-935-640	935	640
assemblage-927-638	927	638
assemblage-924-643	924	643
assemblage-942-619	942	619
assemblage-941-646	941	646
assemblage-954-637	954	637
assemblage-920-647	920	647
assemblage-934-638	934	638
assemblage-924-642	924	642
assemblage-367-778	367	778
assemblage-359-767	359	767
assemblage-351-762	351	762
assemblage-358-771	358	771
assemblage-356-780	356	780
assemblage-353-783	353	783
assemblage-346-771	346	771
assemblage-364-776	364	776
assemblage-361-774	361	774
assemblage-363-782	363	782
assemblage-254-702	254	702
assemblage-262-713	262	713
assemblage-246-699	246	699
assemblage-268-692	268	692
assemblage-250-701	250	701
assemblage-239-699	239	699
assemblage-277-695	277	695
assemblage-245-693	245	693
assemblage-253-691	253	691
assemblage-252-694	252	694
assemblage-723-161	723	161
assemblage-728-160	728	160
assemblage-727-156	727	156
assemblage-738-152	738	152
assemblage-731-157	731	157
assemblage-741-161	741	161
assemblage-723-168	723	168
assemblage-730-151	730	151
assemblage-708-159	708	159
assemblage-717-153	717	153
assemblage-977-163	977	163
assemblage-988-143	988	143
assemblage-978-144	978	144
assemblage-1002-149	1002	149
assemblage-1000-159	1000	159
assemblage-992-151	992	151
assemblage-985-150	985	150
assemblage-1007-142	1007	142
assemblage-987-160	987	160
assemblage-976-160	976	160
assemblage-746-526	746	526
assemblage-746-549	746	549
assemblage-746-533	746	533
assemblage-758-534	758	534
assemblage-759-507	759	507
assemblage-755-523	755	523
assemblage-752-557	752	557
assemblage-743-521	743	521
assemblage-746-527	746	527
assemblage-775-534	775	534
assemblage-648-198	648	198
assemblage-616-193	616	193
assemblage-637-212	637	212
assemblage-608-220	608	220
assemblage-639-223	639	223
assemblage-629-202	629	202
assemblage-613-236	613	236
assemblage-632-201	632	201
assemblage-632-237	632	237
assemblage-614-217	614	217
assemblage-805-161	805	161
assemblage-801-144	801	144
assemblage-797-172	797	172
assemblage-795-158	795	158
assemblage-790-152	790	152
assemblage-809-155	809	155
assemblage-786-164	786	164
assemblage-795-169	795	169
assemblage-784-162	784	162
assemblage-799-159	799	159
assemblage-794-255	794	255
assemblage-774-258	774	258
assemblage-760-273	760	273
assemblage-784-282	784	282
assemblage-787-249	787	249
assemblage-787-279	787	279
assemblage-792-259	792	259
assemblage-796-272	796	272
assemblage-792-258	792	258
assemblage-777-252	777	252
assemblage-767-714	767	714
assemblage-773-697	773	697
assemblage-770-706	770	706
assemblage-756-716	756	716
assemblage-773-705	773	705
assemblage-768-710	768	710
assemblage-771-714	771	714
assemblage-765-726	765	726
assemblage-768-706	768	706
assemblage-781-690	781	690
assemblage-812-450	812	450
assemblage-801-466	801	466
assemblage-824-435	824	435
assemblage-816-430	816	430
assemblage-789-447	789	447
assemblage-821-455	821	455
assemblage-780-440	780	440
assemblage-799-430	799	430
assemblage-816-440	816	440
assemblage-800-441	800	441
assemblage-455-938	455	938
